City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,atafu village,-8.5421,-172.5159,300.1,85,100,6.87,TK,1699931216
114,olonkinbyen,70.9221,-8.7187,271.71,74,98,3.45,SJ,1699931259
115,grafton,42.207,-71.6856,275.38,91,100,0.0,US,1699931265
116,hadibu,12.65,54.0333,299.6,85,83,4.76,YE,1699931266
117,puerto baquerizo moreno,-0.9,-89.6,296.85,83,100,4.25,EC,1699931266
118,whitehorse,60.7161,-135.0538,268.58,85,100,2.06,CA,1699931138
119,colonia,50.9333,6.95,285.83,74,40,7.2,DE,1699931236
120,port mathurin,-19.6833,63.4167,298.57,77,0,2.98,MU,1699930866
121,mount isa,-20.7333,139.5,312.02,13,0,6.69,AU,1699931266
122,olyokminsk,60.3736,120.4264,266.14,88,100,2.31,RU,1699931266
123,prince albert,53.2001,-105.7677,272.91,87,100,3.51,CA,1699931267
124,petropavlovsk-kamchatsky,53.0452,158.6483,270.07,74,0,12.52,RU,1699931245
125,borovskoy,53.8,64.15,277.98,81,100,8.83,KZ,1699931267
126,ketchikan,55.3422,-131.6461,277.14,87,0,2.06,US,1699931267
127,portage la prairie,49.9728,-98.2926,275.99,67,100,5.93,CA,1699931267
128,tazovsky,67.4667,78.7,253.12,100,39,3.15,RU,1699931253
129,al matlin,37.2452,10.05,290.7,69,54,3.98,TN,1699931268
130,wailua homesteads,22.0669,-159.378,300.39,80,40,7.2,US,1699931208
131,pamandzi,-12.7967,45.2794,299.03,89,0,1.54,YT,1699931268
132,ilhabela,-23.7781,-45.3581,297.75,93,54,2.63,BR,1699931268
133,lompoc,34.6391,-120.4579,288.03,82,0,3.09,US,1699931259
134,margate,51.3813,1.3862,285.3,80,78,6.26,GB,1699931069
135,ulety,51.3572,112.4849,267.92,63,74,1.73,RU,1699931268
136,iskateley,67.6803,53.1512,265.38,96,100,4.02,RU,1699931239
137,kingston,17.997,-76.7936,301.68,79,20,1.54,JM,1699931238
138,aripuana,-9.1667,-60.6333,295.98,90,76,0.62,BR,1699931242
139,portland,45.5234,-122.6762,283.16,89,0,1.79,US,1699931046
140,albany,42.6001,-73.9662,274.11,85,73,0.46,US,1699930850
141,fisterra,42.9049,-9.2629,291.9,95,100,13.07,ES,1699931269
142,hermanus,-34.4187,19.2345,288.07,80,43,8.11,ZA,1699931269
143,remire-montjoly,4.9167,-52.2667,298.17,94,0,0.0,GF,1699931270
144,broken hill,-31.95,141.4333,299.57,23,75,4.53,AU,1699931270
145,carrizal,10.3499,-66.9863,293.32,95,100,0.77,VE,1699931270
146,kotlas,61.2611,46.6556,275.96,98,100,3.58,RU,1699931270
147,yanchep,-31.55,115.6833,302.6,51,1,4.39,AU,1699931270
148,quellon,-43.1167,-73.6167,277.43,81,95,3.53,CL,1699931271
149,labasa,-16.4167,179.3833,301.36,83,100,6.07,FJ,1699931271
150,shillong,25.5689,91.8831,287.17,82,25,0.0,IN,1699931271
151,fale old settlement,-9.3852,-171.2468,299.32,86,100,0.39,TK,1699931155
152,karayazi,39.7028,42.1456,277.59,91,79,2.59,TR,1699931271
153,ciudad lazaro cardenas,17.9583,-102.2,299.82,81,37,1.88,MX,1699931198
154,gisborne,-38.6533,178.0042,293.22,45,97,5.31,NZ,1699931271
155,hawaiian paradise park,19.5933,-154.9731,296.5,93,75,0.45,US,1699931178
156,lihue,21.9789,-159.3672,300.73,74,40,7.2,US,1699931272
157,el calafate,-50.3408,-72.2768,276.16,61,77,5.44,AR,1699931272
